id,friends
1969527638,"['1969574754', '1969295556', '1969284056', '1969612214', '1970067476', '1969797386', '1969430539', '1969840064', '1969698176', '1970005154', '283011644', '1969901029', '1969563175', '1969302314', '1969978662', '1969457936', '1969667533', '1969547821', '1969943478', '1969668032', '283006529', '1969809440', '1969601096', '1969298856', '1969331652', '1969385498', '1969674368', '1969565263', '1970144676', '1969745390', '1969947438', '1969734134', '1969801326', '1969324008', '1969259820', '1969535827', '1970072989', '1969771688', '1969437804', '1969507394', '1969509972', '1969751588', '283012808', '1969302888', '1970224440', '1969603532', '283011244', '1969501046', '1969887518', '1970153138', '1970267527', '1969941955', '1969421654', '1970013110', '1969544905', '1969839590', '1969876500', '1969674625', '1969337952', '1970046536', '1970090934', '1969419133', '1969517215', '1969787869', '1969298065', '1970149771', '1969422638', '1969504268', '1970025554', '1969776001', '1970138611', '1969316186', '1969547558', '1969689272', '283009727', '283015491', '1969526874', '1969662210', '1969536164', '1969320008', '1969893793', '1970158393', '1969365936', '1970194418', '1969942094', '1969631580', '1969704756', '1969920092', '1969712882', '1969791680', '1969408164', '1969754851', '1970205480', '1969840267', '1969443211', '1969706762', '1969692698', '1969751576', '1969486796', '1969286630', '1969686674', '1969833492', '1969294814', '1969472719', '1969685018', '283008559', '283011243', '1969680078', '1969545697', '1969646412', '1969442725', '1969692529']"
51878493,"['60789485', '2420931980', '2899776756', '127410795', '38747286', '1345516880', '236076395', '1242946609', '2567887488', '280777286', '2912446303', '1149916171', '3192577639', '239569380', '229974168', '389097282', '266336410', '1850301204', '2364414805', '812302213', '2318240348', '158634793', '542282350', '569664772', '766573472', '703551325', '168564432', '261054460', '402980453', '562547390', '539630318', '165167145', '22216387', '427568285', '61033129', '213519434', '373092437', '170762012', '273601960', '322108757', '1681816280', '357843027', '737471496', '406541143', '1084122632', '633477616', '537821327', '793079732', '2386380799', '479015607', '783354019', '365171478', '625002575', '2326207404', '1653286842', '1676964216', '2296617326', '1583692190', '1315393903', '377660026', '2235123476', '792779641', '351222527', '444993309', '588396446', '377629159', '469383424', '1726612471', '415230430', '942443390', '360924168', '318593248', '565022085', '319679735', '632508305', '377638254', '1392782078', '584483723', '377703135', '180463340', '564978577', '502517645', '1056960042', '285097108', '410245879', '159121042', '570399371', '502348447', '960927356', '377196638', '478142245', '335043809', '73546116', '11348282', '901302409', '53255593', '515983155', '391774800', '62351523', '724792351', '346296289', '152520627', '559053427', '508019115', '349996133', '378859519', '65120103', '190070557', '339868374', '417355200', '256729771', '16171898', '45266183', '16143507', '165258639']"
1393409100,"['86868062', '19697415', '2998836604', '456295047', '749313772414574592', '740059831197937664', '3301858405', '625393716', '1692033912', '3886713794', '2691182035', '4766139451', '130765040', '241822311', '3280637490', '2900125707', '3246405074', '2570219586', '29554553', '327247276', '253680914', '434545375', '8521542', '26257166', '711525468', '385649473', '139979729', '1196437938', '1143153330', '890891', '601324911', '602242927', '506173076', '891566299', '365234647', '1958900412', '57215697', '418950616', '184676037', '440542872', '27913599', '364686180', '450389164', '15492359', '539718882', '2248438657', '1123316882', '892665115', '43403778', '118906389', '269131432', '166367896', '505472864', '1693067623', '75859623', '49804260', '45404377', '1564986109', '415859364', '1102746062', '23976478', '49921037', '1030526820', '275653873', '42419397', '1078419452', '438933907', '130684475', '352145373', '65153448', '184313387', '45112524', '24485503', '19426551', '538630932', '269108959', '76257918', '365431868', '440716184', '126123063', '23561980', '409892162', '567828655', '335548296', '874620770', '365276923', '87105410', '23298808', '557379987', '20346956', '258185832', '166057653', '1059194370', '31299702', '277363312', '25521487', '35145790', '30814382', '962360714', '29155218', '362549978', '303515799', '118925750', '175206444', '524984688', '426962670', '499540353']"
232891415,"['361335082', '1405248468', '24626354', '725675895965552640', '4870453512', '20416782', '126016342', '702540647199334402', '229519333', '2189094041', '57795767', '51506271', '372994837', '74580436', '85566766', '1339835893', '3428159532', '2916305152', '19740363', '813286', '1536791610', '3004470701', '83395806', '325956107', '143528416', '9629222', '3214745575', '635028535', '40269601', '2833615159', '17385685', '158043092', '889985060', '368058934', '145499533', '86572714', '93219986', '2964492268', '193725962', '2974077975', '726492570', '327008952', '80957643', '89760824', '127982550', '12992772', '32465040', '83446962', '18327279', '19090892', '22783762', '344754757', '377620558', '2751914086', '1360282855', '2716815312', '2242634083', '77304326', '130602347', '21212823', '24467440', '33618667', '1245158946', '382177545', '89765757', '522376876', '20059181', '2565434893', '59078389', '2301985376', '189709196', '30095364', '16024323', '726454261', '412806234', '1292376426', '70740986', '82455213', '349300271', '457554412', '30447805', '36282042', '18010713', '410089108', '20029472', '38316003', '160941691', '25436781', '2282671736', '47473125', '618216016', '43206962', '1719152509', '102443043', '100520003', '58880458', '202896310', '608777083', '21610243', '1430426018', '15846407', '15014328', '2218014186', '28185875', '24215395', '1623984302', '1673753192', '395131396', '2274111126', '36012585', '83901762', '31442511', '44875761', '292112649', '1523681', '147018110', '1924364738', '1879866391', '1851646975', '1863410082', '1831747249', '441642419', '263907004', '268414482', '897940675', '55880275', '24883323', '19659503', '329292952', '21137035', '784856', '61820217', '43254421', '437044208', '253809805', '107530570', '19912023', '225843347', '56229337', '273726887', '24832957', '248414985', '17188625', '19131131', '1396189904', '125002444', '1346989147', '115633811', '21447363', '22546807', '142410525', '21701757', '16842063', '22195121', '49474851', '27588055', '21362105', '851649703', '802670347', '18173624', '117633852', '636533450', '512700138', '185459619', '184878590', '394980089', '465686020', '19719511', '14518712', '73002653', '48040340', '16152366', '27706753', '537702411', '58463213', '54930650', '157286361', '270085183', '21609417', '449052449', '73883691', '466090566', '36163584', '455122805', '22646558', '544517731', '325860471', '17166765', '52966031', '28207101', '22880677', '20075529', '79293791', '20036640', '64205763', '435065150', '8712672', '383523808', '282268732', '49469890', '454364778', '27270941', '21414413', '36763512', '27183067', '16245840', '20493555', '24260253', '45266183', '321732388', '116710152', '425281557', '352081918', '78144992', '21541287', '242089962', '104958153', '17493206', '382376807', '160994236', '16994440', '125084085', '213099113', '15313351', '19239840', '27808176', '134877333', '34535550', '43909715', '35587260', '15847020', '2405', '24992530', '19251889', '18664100', '314081136', '69672961', '28723372', '300461595', '15319675', '142429281', '21066807', '274105545', '269589988', '59640027', '118907840', '22131810', '26013014', '16873083', '17876372', '144658406', '61123704', '14760423', '22936038', '35084169', '22456172', '19309510', '17727893', '138923108', '20565284', '110301406', '25173095', '26663389', '20926214', '31020446', '20163240', '14632312', '7253632', '89251698', '63172203', '17137146', '72784067', '52212426', '16409683', '195827821', '38115949', '25095283', '20411910', '34394741', '17695820', '172107357', '27071444', '26090319', '130189387', '75677899', '34239746', '22636758', '84964064', '193425956', '19877186', '8936082', '19902330', '29818048', '23897000', '15924218', '19722029', '34666816', '28706024', '23024436', '177315042', '51071113', '74469812', '18396706', '16213043', '20110555', '21439600', '34407053', '22718270', '26852024', '120940349', '221513301', '69684217', '101928856', '21959255', '23896095', '71578452', '169686021', '4532891', '84688287', '16312352', '93028795', '187613519', '28906719', '21164283', '49838341']"
710130422907207680,"['1571896093', '768938323612008448', '2548665930', '3325664702', '766819398761918464', '2783142451', '1061281784', '132774626', '1925157330', '736409486949122048', '4222679953', '568825492', '1187647735', '225539878', '26257166', '2973453269', '372891057', '173677727', '763432505974353920', '745695548246720513', '719308390405578752', '498177610', '2830865084', '761350872303403008', '168317678', '423723318', '39689218', '625243514', '19882775', '23375688', '2697311802', '754143246062936064', '339921059', '2428203212', '751469641994608640', '15583378', '733643578212241409', '2200652118', '52803520', '746928595075891200', '746798577804972033', '69493608', '1388233718', '2989186063', '2678072634', '2893511188', '795120134', '742586336440254464', '1469101932', '2383058947', '91408245', '266336410', '2728783961', '737014240679104512', '365723828', '1345393938', '739674895223656452', '3309255770', '3308919444', '70722719', '2303734992', '56783491', '16222584', '116851877', '288309667', '719711516405145604', '631406513', '1865002213', '14477169', '2894418740', '729803283250843648', '829895527', '701905661257322496', '724021043904442369', '713029735', '2743113943', '310687757', '2355715968', '1398549343', '4800605383', '2951495779', '3301031406', '722621504752525312', '722284747704012801', '3841412052', '2732955261', '2736157266', '3293253494', '52304597', '136882480', '256409561', '2149207500', '6427882', '715886426387120129', '2429563153', '3247896397', '714077235515265025', '2388278334', '970547641', '2202209962', '4509136039', '2646196464', '1532560928', '3318421750', '1881426085', '1209309782', '3148528086', '3247035289', '3074544806', '4095428353', '2713559023', '4403435833', '2674879424', '3315183996', '2393574722', '210292704', '338170469', '1591914252', '2738979086', '18336787', '447663803', '1226284524', '1669339272', '2678085943', '379435684', '212944975', '39338684', '2796033198', '3235608158', '1255871706', '542132128', '2563589204', '2256779768', '3023159948', '3317891498', '2751470203', '629951212', '618141641', '24382752', '2216043499', '3161849322', '2922013098', '2938876662', '2670949950', '969308522', '4640682086', '3277638632', '2436254923', '1186582741', '131948686', '1110475561', '1075624326', '599767159', '2790649890', '20545055', '1290082680', '430744802', '189283341', '56906052', '1917405294', '264498030', '58233603', '492399548', '3013876687', '2795467929', '520666316', '1173376075', '2302461961', '4686346466', '2896215918', '3033254382', '252709160', '2575373149', '2839339862', '169740780', '1279474962', '2493261954', '3408700152', '281766200', '2775384685', '3104049696', '2949955505', '2991929635', '2290317073', '3102253338', '4763922181', '2595627534', '2338874178', '2161917885', '3005972173', '1152468416', '2861848531', '2983540934', '218341760', '2243373967', '2506247772', '458549711', '510682980', '958699842', '3307542247', '4842916879', '3139639189', '3161748235', '1480982389', '3140873467', '3122455436', '3271176048', '27260086', '2249618060', '3245431560', '3142567944', '2975044567', '539199603', '2429607175', '329483690', '1618741610', '3158285184', '3403533105', '1651160556']"
3649469655,"['2401096388', '707864762', '4096348512', '763855859931897857', '86980320', '767519869780668416', '3221758014', '1104237374', '588933843', '554853175', '2259650617', '4754523444', '4504442893', '4504494433', '2747904830', '2803048793', '2213559181', '764652541875326976', '2717254872', '3246851216', '3267440372', '722778491133898754', '274749407', '3246469349', '761285375792852995', '4322212577', '2212945357', '322539565', '1962578750', '1039596038', '1862629969', '152851563', '315094513', '720408187682164736', '3435533413', '35031708', '573386561', '894552380', '305694283', '388974994', '321970500', '3278809183', '758083829726785536', '541856830', '756503993313062912', '24859104', '548765353', '3287947815', '3003186105', '23344923', '4460058406', '63822383', '48991949', '1934965290', '344779704', '3295965709', '2329616279', '2150327072', '977330473', '2999855967', '124949619', '705259978991362048', '3318820631', '173210133', '372123733', '3230317663', '2540538534', '611831711', '1611635503', '580584352', '2566083968', '533333934', '46116615', '1591752608', '27711339', '714185078839054337', '1199666076', '1695439886', '2896294831', '2315775968', '955721514', '1250318246', '259464025', '2198716436', '26090319', '3049649680', '4487451321', '176566242', '4096255874', '1536077150', '35985504', '2295511306', '2907536174', '885911118', '16712746', '221412285', '1009105268', '44388979', '45709328', '1912839878', '34507480', '233183631', '30495613', '1618225981', '1132234663', '3023562207', '449535976', '2485507270', '902792750', '863186304', '1032487710', '20355988', '2300232479', '2657661039', '3053338062', '27776098', '259435698', '209003577', '739784130', '363972381', '872374136', '114354410', '443529647', '363640677', '2261335995', '1965249408', '21656811', '3327382803', '159225370', '719988622', '255388236']"
99769502,"['16874201', '223345936', '46893921', '130408348', '30345691', '392391307', '713030233054511105', '27513068', '322593796', '7291092', '36339032', '245970800', '21044208', '262358729', '1463897822', '68674747', '125832497', '51146761', '259499671', '3003703089', '1724322559', '122481376', '169663507', '48804817', '609287853', '337961957', '22924424', '2432671776', '221056089', '230844641', '21046818', '39666777', '16516063', '1323105444', '256631098', '20312867', '1261069340', '1161190970', '260295434', '542838911', '29608600', '75446868', '276763380', '226045849', '252277635', '328499550', '116983337', '156606331', '20600235', '18156714', '37014098', '188760232', '59621828', '26106310', '36489352', '24593014', '313925523', '405217932', '21914073', '27866299', '99941246', '16829509', '28247294', '271972038', '26329963', '279792997', '83852999', '264348057', '36783122', '30969644', '244690266', '55353207', '23714692', '63635257', '110871885', '74461072', '54987639', '35513953', '28472955', '20049315', '158762646', '95059819', '21302878', '118921833', '120198145', '119059444', '106146884', '79035632', '22170001', '113195690', '44029470', '38430803', '51139120', '28708683', '106514318', '37050345', '21677706', '55990504', '35836665', '28985803', '36722746', '35117415', '90743050', '53237342', '27476898', '34394666', '38290589', '43561467', '30091081', '33136414', '25363608']"
413415713,"['2353374818', '761568335138058240', '2395907958', '1147655490', '3032693055', '1628958787', '166618489', '2717741989', '315977137', '835462645', '1553867388', '1400515844', '549372851', '2578478492', '495391959', '19559692', '722106188784091138', '738058296515383296', '1679393064', '285124348', '3569244683', '313471901', '131102007', '3345886792', '510385617', '4729839383', '117247888', '3949022855', '449242144', '979048344', '2751068705', '4846221891', '1090299067', '462312323', '582050516', '4888623123', '3356001382', '70359035', '62559156', '2797734201', '462254422', '238660372', '324502132', '428483405', '1681057874', '414963445', '76131466', '158487331', '614530538', '539506506', '315417642', '3559432221', '2278183554', '585831245', '834316544', '271594510', '252081910', '2312141016', '341327887', '880685791', '442078682', '3361345252', '1165949850', '145048129', '1648162202', '318056870', '833102023', '101911036', '158169267', '3419118826', '255757438', '3310811608', '203527816', '3401223953', '191985864', '866224748', '2761330576', '2585037580', '906075368', '2791078162', '2226035878', '460459555', '3191771572', '1237455871', '229943328', '2844207813', '2243102873', '3109306173', '856262762', '2816040203', '2418155554', '253291809', '3119142045', '2983029154', '2389177594', '3077383377', '23699191', '129789846', '387802342', '570881734', '764841038', '287203542', '2759422283', '361576552', '434404143', '2632611195', '1565738102', '311160519', '110482310', '716691475', '1610646036', '323985368', '1876310449', '2156462722', '1958781361', '553072976', '440212547', '788917189', '2149443722', '369101157', '413778284', '2565702054', '350838751', '1240034958', '432394476', '394825259', '902402378', '33162676', '399432418', '431922462', '724297069', '2470113280', '2573653005', '132170363', '68391251', '352480002', '1011743996', '92264368', '2272378339', '2432518075', '362161714', '531490326', '301558496', '1212746864', '223186542', '414051057', '371416597', '382799623', '2316464970', '21670011', '369044224', '216830132', '46407967', '401292886', '883027152', '2304425109', '423517834', '587743957', '2254217237', '1436130847', '2244025468', '1323049028', '2187375926', '1917075506', '1514080422', '1292362992', '234347094', '312857683', '1425926070', '499056349', '286667557', '1722066102', '602131309', '1707855049', '228709487', '454989902', '77501108', '535552849', '307827749', '929341266', '703751091', '454333342', '420638267', '1689057055', '422187733', '31741041', '310862349', '592770862', '382925517', '760477441', '1268068531', '386146513', '1435532353', '45139327', '389040114', '930403435', '1643705694', '320518266', '1055041962', '601126446', '363773627', '39309112', '892020380', '575583892', '403331224', '366491689', '551595766', '308352844', '302861425', '550046066', '238914993', '713993413', '265902729', '602109172', '515980805', '322850945', '835328618', '95023423', '1164671695', '412443653', '221112870', '413234784', '1107238760', '606606812', '196670820', '348042409', '923438533', '555928038', '573491754', '143512281', '85284317', '386153894', '421936199', '291842293', '407021317', '287263617', '1009477230', '400511159', '436095780', '60912576', '488319792', '506161598', '812924720', '560657057', '974887220', '966522306', '212645112', '343627165', '320215579', '241737022', '74723996', '254588661', '182476871', '627491854', '19512351', '273110147', '238766419', '627754645', '471287735', '358703422', '586868478', '458470198', '216833362', '258026555', '483951353', '426759300', '489328361', '483377865', '464107656', '402354577', '168773874', '91454381', '108568373', '87313841', '22910295', '291818252', '334240650', '241953835', '87225966', '359670651', '155659213']"
518053777,"['2432417994', '752203567382093824', '742160377916456960', '30602016', '599698142', '2193119359', '446660796', '870687710', '22940219', '450775781', '476199422', '1022241787', '366170066', '634850322', '496456846', '1520006918', '2560095402', '607588950', '478280136', '818478128', '604666261', '440288499', '3411504886', '3976294938', '353457931', '1007776741', '401681146', '49165920', '1102902079', '1539926803', '543833509', '444219685', '175919544', '98479849', '605677953', '1877894348', '3902287877', '913388276', '719104532', '563285070', '1958062008', '2318186466', '1062976843', '347717020', '554027434', '402470903', '347683075', '883648225', '880825531', '3068178406', '1419277279', '1938585510', '1047199152', '919185966', '605931082', '311630234', '941837964', '337511415', '1468548564', '424724685', '1695485828', '623239693', '483375875', '311866190', '1362799604', '318425177', '40116723', '76170741', '1641156151', '259574089', '300590591', '2696853128', '1972349340', '1465153273', '414358262', '1602469909', '903048108', '306530599', '2179270668', '52847728', '616427510', '31468057', '544495417', '391495622', '2270603072', '293662479', '1504440932', '1969408302', '935800093', '321453895', '184633589', '313475995', '382210821', '369246833', '368690792', '405313818', '513675928', '480817219', '489700093', '606749900', '508156187', '727601930', '814252518', '312205219', '911320404', '733077764', '626953177', '558182191', '346721250', '538186935', '1018422691', '1198818684', '454958628', '2155588218', '454922337', '536539481', '924450769', '369789492', '58531371', '1523546118', '301705656', '1126894147', '829712827', '898794674', '493525828', '382212823', '909017766', '756460878', '346887646', '313531769', '1056817926', '341180988', '470716884', '310651223', '437038323', '621280732', '617751289', '464154864', '733744028', '746568548', '799855772', '566928774', '798269040', '572518998', '513800674', '444243780', '359672152', '564963836', '444908019', '575692281', '564148808', '597696711', '599819415', '500355577', '575725766', '531300997', '566702145', '601673424', '391148656', '443828250', '553348056', '543962026', '309137793', '497603445', '311868390', '509718858', '553255963', '305293664', '538150213', '551452376', '40125639', '272721900', '453613677', '502257896', '483514457', '321833423', '544260344', '493736995', '448058336', '462558177', '66889540', '429574593', '428006891', '129687143', '407783786', '66492831']"
